queue_rank,task_id,target_phase,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,target_cost,projected_gain_to_target,priority_score,required_system,first_action,preferred_lowerings,reject_lowerings,proof_requirements,worker_acceptance,leakage_risk,private_risk
87,49,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,21135,15.04131428699911,9000,0.8537058566825326,20.845744279826217,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task049: validation pass, cost < 21135, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
88,65,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20963,15.049485742036117,9000,0.8455344016455264,20.755858274419147,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task065: validation pass, cost < 20963, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
89,21,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20739,15.060228735386625,9000,0.8347914082950183,20.63768534756356,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task021: validation pass, cost < 20739, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
90,238,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20291,15.082067283032377,9000,0.8129528606492666,20.39746132346029,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task238: validation pass, cost < 20291, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
91,279,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20244,15.084386267666032,9000,0.8106338760156113,20.37195249249008,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task279: validation pass, cost < 20244, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
92,213,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20067,15.093168046213481,9000,0.8018520974681618,20.275352928468138,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task213: validation pass, cost < 20067, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
93,359,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19771,15.10802850342512,9000,0.7869916402565238,20.11188789914012,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task359: validation pass, cost < 19771, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
94,367,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19707,15.111270818439417,9000,0.7837493252422263,20.07622243398285,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task367: validation pass, cost < 19707, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
95,5,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19387,15.127641982660792,9000,0.7673781610208508,19.89613962754772,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task005: validation pass, cost < 19387, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
96,350,phase1_6500_bridge,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,19831,15.10499835111417,9000,0.7900217925674724,19.795219574560555,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task350: validation pass, cost < 19831, target cost <= 9000, static/banned-op gate pass",medium,medium
97,202,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19206,15.137021990802081,9000,0.7579981528795621,19.79295953799354,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task202: validation pass, cost < 19206, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
98,59,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19163,15.139263384531505,9000,0.7557567591501382,19.76830420696988,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task059: validation pass, cost < 19163, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
99,256,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19067,15.144285628935556,9000,0.7507345147460871,19.713059518525316,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task256: validation pass, cost < 19067, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
100,46,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19000,15.147805741851423,9000,0.7472144018302203,19.674338276450783,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task046: validation pass, cost < 19000, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
101,70,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18939,15.151021432964265,3000,1.8426109993854904,29.62508856089064,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task070: validation pass, cost < 18939, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
102,281,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18843,15.156103228877509,3000,1.837529203472247,29.569188805844963,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task281: validation pass, cost < 18843, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
103,379,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18843,15.156103228877509,3000,1.837529203472247,29.569188805844963,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task379: validation pass, cost < 18843, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
104,61,phase2_7000_submit_safe,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,18914,15.152342332424542,3000,1.8412900999252138,29.260558666827595,region and room-fill synthesizer,detect boundary colors and line-grid rooms; prefer closed-form room masks over flood-fill unroll; try row/column prefix reductions before dilation,static row/column ReduceSum masks; small Conv kernels; single-pass room mask Where,radius-scale flood-fill unroll; many-step dilation; dynamic full-grid color map,boundary/interior semantics fit train examples; sample validation pass; unroll count is justified by cost gate; cost is lower than current selected ONNX,"task061: validation pass, cost < 18914, target cost <= 3000, static/banned-op gate pass",medium,medium-high
105,69,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18263,15.187367565807959,3000,1.806264866541797,29.225281099610015,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task069: validation pass, cost < 18263, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
106,31,phase2_7000_submit_safe,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,18616,15.168223295017873,3000,1.8254091373318833,29.08586807830096,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task031: validation pass, cost < 18616, target cost <= 3000, static/banned-op gate pass",medium,medium
107,196,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18011,15.201262038662943,3000,1.792370393686813,29.072441898205188,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task196: validation pass, cost < 18011, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
108,219,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18011,15.201262038662943,3000,1.792370393686813,29.072441898205188,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task219: validation pass, cost < 18011, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
109,183,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17795,15.213327202055707,3000,1.780305230294049,28.939725100884786,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task183: validation pass, cost < 17795, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
110,325,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17795,15.213327202055707,3000,1.780305230294049,28.939725100884786,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task325: validation pass, cost < 17795, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
111,84,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17595,15.224629950244314,3000,1.7690024821054422,28.81539487081011,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task084: validation pass, cost < 17595, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
112,189,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17571,15.225994905242109,3000,1.767637527107647,28.800380365834364,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task189: validation pass, cost < 17571, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
113,239,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17568,15.226165655690743,3000,1.7674667766590133,28.798502110899392,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task239: validation pass, cost < 17568, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
114,18,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17467,15.231931334571607,3000,1.7617010977781487,28.73507964320988,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task018: validation pass, cost < 17467, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
115,154,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17371,15.237442571898077,3000,1.7561898604516788,28.674456032618714,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task154: validation pass, cost < 17371, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
116,224,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17243,15.244838456999869,3000,1.7487939753498871,28.593101296499004,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task224: validation pass, cost < 17243, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
117,163,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17092,15.253634203236084,3000,1.739998229113672,28.496348087900635,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task163: validation pass, cost < 17092, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
118,34,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17058,15.255625419120944,3000,1.7380070132288115,28.474444713167173,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task034: validation pass, cost < 17058, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
119,85,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16926,15.263393819769949,3000,1.7302386125798073,28.388992306028126,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task085: validation pass, cost < 16926, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
120,390,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16699,15.276895883627567,3000,1.7167365487221886,28.24046960359432,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task390: validation pass, cost < 16699, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
121,330,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16635,15.280735811547423,3000,1.7128966208023328,28.198230396475907,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task330: validation pass, cost < 16635, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
122,319,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16583,15.283866646785901,3000,1.7097657855638548,28.16379120885265,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task319: validation pass, cost < 16583, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
123,354,phase2_7000_submit_safe,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,17007,15.258619697007587,3000,1.7350127353421687,28.0915076564141,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task354: validation pass, cost < 17007, target cost <= 3000, static/banned-op gate pass",medium,medium
124,232,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16283,15.302123102235779,3000,1.691509330113977,27.962970198903992,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task232: validation pass, cost < 16283, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
125,36,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,15912,15.325171179466192,3000,1.6684612528835636,27.709441349369445,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task036: validation pass, cost < 15912, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
