priority_rank,task_id,current_cost,current_points,synthesis_family,route_prediction,current_source,current_template,target_phase,required_system,required_lowering,main_blocker,gain_if_cost_le_9000,gain_if_cost_le_3000,gain_if_cost_le_1000,gain_if_cost_le_300
87,49,21136,15.041267,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.853753,1.952365,3.050978,4.254951
88,65,20964,15.049438,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.845582,1.944194,3.042807,4.246779
89,21,20740,15.060181,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.834840,1.933452,3.032064,4.236037
90,238,20292,15.082018,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.813002,1.911614,3.010227,4.214200
91,279,20245,15.084337,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.810683,1.909296,3.007908,4.211881
92,213,20068,15.093118,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.801902,1.900514,2.999127,4.203099
93,350,19831,15.104998,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.790022,1.888634,2.987246,4.191219
94,359,19772,15.107978,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.787042,1.885655,2.984267,4.188240
95,367,19708,15.111220,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.783800,1.882412,2.981025,4.184997
96,5,19388,15.127590,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.767430,1.866042,2.964654,4.168627
97,202,19207,15.136970,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.758050,1.856663,2.955275,4.159248
98,59,19164,15.139211,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.755809,1.854421,2.953034,4.157006
99,256,19068,15.144233,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.750787,1.849399,2.948012,4.151984
100,46,19001,15.147753,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.747267,1.845879,2.944492,4.148464
101,70,18940,15.150969,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.744052,1.842664,2.941276,4.145249
102,61,18914,15.152342,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,0.742678,1.841290,2.939902,4.143875
103,281,18844,15.156050,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.738970,1.837582,2.936195,4.140167
104,379,18844,15.156050,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.738970,1.837582,2.936195,4.140167
105,31,18616,15.168223,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.726797,1.825409,2.924021,4.127994
106,69,18264,15.187313,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.707707,1.806320,2.904932,4.108905
107,196,18012,15.201207,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.693814,1.792426,2.891038,4.095011
108,219,18012,15.201207,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.693814,1.792426,2.891038,4.095011
109,183,17796,15.213271,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.681749,1.780361,2.878974,4.082947
110,325,17796,15.213271,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.681749,1.780361,2.878974,4.082947
111,84,17596,15.224573,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.670447,1.769059,2.867672,4.071644
112,189,17572,15.225938,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.669082,1.767694,2.866307,4.070280
113,239,17569,15.226109,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.668911,1.767524,2.866136,4.070109
114,18,17468,15.231874,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.663146,1.761758,2.860371,4.064343
115,154,17372,15.237385,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.657635,1.756247,2.854860,4.058833
116,224,17244,15.244780,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.650240,1.748852,2.847464,4.051437
117,163,17093,15.253576,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.641444,1.740057,2.838669,4.042642
118,34,17059,15.255567,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.639453,1.738066,2.836678,4.040651
119,354,17007,15.258620,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.636400,1.735013,2.833625,4.037598
120,85,16927,15.263335,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.631685,1.730298,2.828910,4.032883
121,390,16700,15.276836,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.618184,1.716796,2.815409,4.019382
122,330,16636,15.280676,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.614344,1.712957,2.811569,4.015542
123,319,16584,15.283806,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.611214,1.709826,2.808438,4.012411
124,232,16284,15.302062,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.592958,1.691571,2.790183,3.994156
125,199,16157,15.309891,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",0.585129,1.683741,2.782353,3.986326
126,58,16105,15.313115,point_to_line_pattern,same_shape_global_transform,afr1ste_5689_artifact,baseline,phase2_7000_submit_safe,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",0.581905,1.680517,2.779130,3.983103
127,36,15913,15.325108,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.569912,1.668524,2.767136,3.971109
128,358,15758,15.334897,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.560124,1.658736,2.757348,3.961321
129,351,15684,15.339604,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.555417,1.654029,2.752641,3.956614
130,44,15484,15.352437,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.542583,1.641195,2.739807,3.943780
131,57,15460,15.353989,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.541031,1.639644,2.738256,3.942229
132,365,15460,15.353989,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.541031,1.639644,2.738256,3.942229
133,400,15460,15.353989,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.541031,1.639644,2.738256,3.942229
134,247,15340,15.361781,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.533239,1.631852,2.730464,3.934437
135,368,15057,15.380402,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.514618,1.613231,2.711843,3.915816
136,112,15004,15.383928,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.511092,1.609705,2.708317,3.912290
137,298,14948,15.387667,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,0.507353,1.605965,2.704578,3.908550
138,277,14617,15.410059,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.484961,1.583573,2.682185,3.886158
139,197,14568,15.413417,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.481603,1.580215,2.678827,3.882800
140,304,14494,15.418510,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.476510,1.575122,2.673735,3.877708
141,253,14445,15.421896,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.473124,1.571736,2.670348,3.874321
142,82,14421,15.423559,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.471461,1.570073,2.668685,3.872658
143,195,14229,15.436963,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.458058,1.556670,2.655282,3.859255
144,141,14108,15.445503,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.449517,1.548130,2.646742,3.850715
145,117,14076,15.447774,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.447247,1.545859,2.644471,3.848444
146,287,13780,15.469026,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.425994,1.524606,2.623218,3.827191
147,284,13756,15.470770,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.424251,1.522863,2.621475,3.825448
148,170,13732,15.472516,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.422504,1.521117,2.619729,3.823702
149,244,13732,15.472516,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.422504,1.521117,2.619729,3.823702
150,4,13561,15.485047,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.409973,1.508586,2.607198,3.811171
151,375,13532,15.487187,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.407833,1.506445,2.605057,3.809030
152,178,13498,15.489703,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.405317,1.503929,2.602542,3.806514
153,185,13432,15.494605,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.400415,1.499028,2.597640,3.801613
154,125,13417,15.495722,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,0.399298,1.497910,2.596523,3.800495
155,300,13324,15.502678,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.392342,1.490955,2.589567,3.793540
156,22,13284,15.505684,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.389336,1.487948,2.586560,3.790533
157,174,12964,15.530068,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.364952,1.463564,2.562176,3.766149
158,79,12836,15.539991,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.355029,1.453641,2.552254,3.756227
159,271,12733,15.548048,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.346972,1.445585,2.544197,3.748170
160,218,12612,15.557596,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.337424,1.436036,2.534649,3.738622
161,242,12612,15.557596,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.337424,1.436036,2.534649,3.738622
162,68,12589,15.559421,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.335599,1.434211,2.532823,3.736796
163,93,12540,15.563321,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.331699,1.430311,2.528924,3.732896
164,130,12491,15.567236,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.327784,1.426396,2.525008,3.728981
165,217,12476,15.568438,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.326582,1.425195,2.523807,3.727780
166,260,12474,15.568598,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.326422,1.425034,2.523646,3.727619
167,134,12388,15.575516,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.319504,1.418116,2.516728,3.720701
168,184,12388,15.575516,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.319504,1.418116,2.516728,3.720701
169,182,12365,15.577375,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.317645,1.416258,2.514870,3.718843
170,295,12190,15.591629,crop_resize,crop_or_resize,vyanktesh_multi_source_output,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.303391,1.402004,2.500616,3.704589
171,265,12188,15.591793,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.303227,1.401840,2.500452,3.704425
